Fecha,Modelo,Precio,Vendedor,Cliente
2023-11-16,SUV,41446.87,Vendedor2,ClienteB
2023-06-24,Hatchback,15219.23,Vendedor2,ClienteB
2023-06-19,Sedan,14856.28,Vendedor1,ClienteC
2024-02-19,Sedan,29954.27,Vendedor4,ClienteE
2023-07-08,Sedan,19585.47,Vendedor3,ClienteF
2024-01-26,Truck,37260.44,Vendedor4,ClienteF
2023-07-14,Sedan,31336.35,Vendedor1,ClienteF
2023-08-15,Minivan,23713.15,Vendedor1,ClienteE
2024-01-24,Minivan,27324.74,Vendedor2,ClienteD
2024-03-21,Sedan,34497.7,Vendedor1,ClienteB
2023-10-06,Truck,46699.58,Vendedor3,ClienteE
2024-03-14,Minivan,43949.43,Vendedor3,ClienteE
2023-08-12,SUV,36922.53,Vendedor4,ClienteE
2023-12-22,SUV,15731.9,Vendedor2,ClienteA
2024-02-09,Sedan,15632.95,Vendedor3,ClienteE
2024-01-31,Coupe,24384.89,Vendedor2,ClienteD
2023-06-24,Coupe,26372.84,Vendedor2,ClienteF
2023-08-20,Minivan,30148.73,Vendedor1,ClienteC
2023-10-24,Hatchback,41556.53,Vendedor1,ClienteA
2023-07-20,Convertible,15448.33,Vendedor3,ClienteF
2023-11-09,Sedan,12594.78,Vendedor2,ClienteC
2024-03-07,Minivan,13066.95,Vendedor3,ClienteE
2023-06-12,Hatchback,20468.9,Vendedor2,ClienteB
2023-07-02,Truck,22214.91,Vendedor3,ClienteB
2023-06-28,Convertible,12515.33,Vendedor2,ClienteA
2023-11-24,Truck,32717.36,Vendedor4,ClienteF
2023-06-25,SUV,44049.44,Vendedor2,ClienteF
2023-07-22,Truck,49911.56,Vendedor4,ClienteE
2024-01-09,Sedan,23789.81,Vendedor1,ClienteD
2024-04-05,Hatchback,21800.61,Vendedor2,ClienteC
2023-08-30,Minivan,39404.19,Vendedor4,ClienteB
2024-05-12,Truck,23733.93,Vendedor1,ClienteB
2023-11-30,Sedan,13855.11,Vendedor4,ClienteC
2024-02-09,Minivan,13781.06,Vendedor4,ClienteC
2023-09-22,SUV,34937.97,Vendedor2,ClienteF
2024-01-12,Sedan,40300.11,Vendedor3,ClienteC
2024-02-03,Hatchback,49790.15,Vendedor3,ClienteD
2024-03-22,Hatchback,43845.17,Vendedor2,ClienteA
2023-06-12,Convertible,25628.91,Vendedor4,ClienteE
2023-07-21,SUV,16367.24,Vendedor2,ClienteB
2023-05-27,Truck,21494.16,Vendedor2,ClienteA
2023-07-21,Convertible,19479.18,Vendedor3,ClienteB
2024-04-28,Truck,29252.92,Vendedor4,ClienteC
